,listing_id,date,time,listing_name,street,city,zip_code,state,address_total,location_x,location_y,location_site,location_indoor,month,day,year,day_of_week
11,300016,2021-02-02,8:14:10,Clarence Hollow Farmers' Market,"New Town lot, 10717 Main St. (route 5)",Clarence,14031,New York,"New Town lot, 10717 Main St. (route 5), Clarence, New York 14031",-78.58945,42.98032,Private business,No Indoor;,2,2,2021,Tuesday
12,300018,2020-08-03,9:39:55,Market in The Park - Lavretta Park,200 Parkway Street West,Mobile,36606,Alabama,"200 Parkway Street West, Mobile, Alabama 36606",-88.160082,30.691614,Local government grounds;,No Indoor;,8,3,2020,Monday
13,300019,2020-09-10,15:25:18,26th Annual Highlands Business Partnership's Farmers Market,71 Waterwitch Avenue,Highlands,07732,New Jersey,"71 Waterwitch Avenue, Highlands, New Jersey 07732",-73.994358,40.404837,Local government grounds;,No Indoor;,9,10,2020,Thursday
14,300020,2020-09-16,11:09:37,Texas Farmers' Market at Lakeline,"Lakeline Mall parking lot, behind Sears & Dillard's",Cedar Park,78613,Texas,"Lakeline Mall parking lot, behind Sears & Dillard's, Cedar Park, Texas 78613",-97.806683,30.469036,Private business,No Indoor;,9,16,2020,Wednesday
15,300024,2021-01-26,8:30:18,Forest farmers market,15583 Forest Road,Forest,24551,Virginia,"15583 Forest Road, Forest, Virginia 24551",-79.285443,37.36437,Local government grounds;,Entire time open indoor;,1,26,2021,Tuesday
16,300025,2021-01-25,19:35:22,Oneida Farmers Market,N7332 Water Circle Place,Oneida,54155,Wisconsin,"N7332 Water Circle Place, Oneida, Wisconsin 54155",-88.202341,44.503625,Closed-off public street;,No Indoor;,1,25,2021,Monday
17,300026,2021-01-27,15:28:08,North Myrtle Beach Farmers Market,925 First Avenue South,North Myrtle Beach,29582,South Carolina,"925 First Avenue South, North Myrtle Beach, South Carolina 29582",-78.683173,33.827655,Local government grounds;,No Indoor;,1,27,2021,Wednesday
18,300028,2021-01-25,16:53:54,ASU Regional Farmers' Market,3300 Aggie Road,Jonesboro,72401,Arkansas,"3300 Aggie Road, Jonesboro, Arkansas 72401",-90.667327,35.840771,Educational institution;,No Indoor;,1,25,2021,Monday
19,300030,2021-01-04,20:26:41,OHSU Farmers Market,"Mailcode L338, 3181 SW Sam Jackson Park Rd",Portland,97239,Oregon,"Mailcode L338, 3181 SW Sam Jackson Park Rd, Portland, Oregon 97239",-122.6877,45.499865,Healthcare institution;,No Indoor;,1,4,2021,Monday
20,300031,2021-01-25,22:00:43,Shelby County Farmers Market,"Hwys 44 and 59, 2099 Chatburn Avenue",Harlan,51537,Iowa,"Hwys 44 and 59, 2099 Chatburn Avenue, Harlan, Iowa 51537",-95.338882,41.645926,Private business,No Indoor;,1,25,2021,Monday
21,300033,2021-01-26,10:47:25,Collinsville Farmers Market,Main St. and Route 179,Collinsville,06019,Connecticut,"Main St. and Route 179, Collinsville, Connecticut 06019",-72.923264,41.810819,Local government grounds;,No Indoor;,1,26,2021,Tuesday
22,300034,2021-01-26,11:29:14,Bemidji's Natural Choice Farmers Market,Union Square Parking Lot--2nd Street & Paul Bunyan Drive,Bemidji,56601,Minnesota,"Union Square Parking Lot--2nd Street & Paul Bunyan Drive, Bemidji, Minnesota 56601",-94.880609,47.469337,Private business,No Indoor;,1,26,2021,Tuesday
23,300035,2020-09-10,16:22:48,Butte Farmers Market,Uptown Butte,Butte,59701,Montana,"Uptown Butte, Butte, Montana 59701",-112.5364,46.01269,Closed-off public street;,No Indoor;,9,10,2020,Thursday
24,300036,2021-01-28,15:54:31,Boulder Farmers and Artisan's Market,304 N. Main Street,Boulder,59632,Montana,"304 N. Main Street, Boulder, Montana 59632",-112.11759,46.239153,Local government grounds;,No Indoor;,1,28,2021,Thursday
25,300037,2021-01-27,16:23:09,Benica Certified Farmers Market,First Street between B & D Streets,Benicia,94510,California,"First Street between B & D Streets, Benicia, California 94510",-122.16118,38.046215,Closed-off public street;,No Indoor;,1,27,2021,Wednesday
26,300039,2021-01-25,11:50:12,Barnegat Farmers Market,14 Birdsall St.,Barnegat,08005,New Jersey,"14 Birdsall St., Barnegat, New Jersey 08005",-74.221654,39.753903,Local government grounds;,No Indoor;,1,25,2021,Monday
27,300040,2021-01-25,16:10:13,Ithaca Farmers Market,Center & Pine River Street,Ithaca,48847,Michigan,"Center & Pine River Street, Ithaca, Michigan 48847",-84.598559,43.292319,Local government grounds;,No Indoor;,1,25,2021,Monday
28,300041,2021-01-29,12:33:57,Westside Community Market,750 University Row,Madison,53705,Wisconsin,"750 University Row, Madison, Wisconsin 53705",-89.470061,43.076159,Healthcare institution;,No Indoor;,1,29,2021,Friday
29,300043,2021-01-28,8:53:53,Red Oak Farmers Market,307 East Reed Street,Red Oak,51566,Iowa,"307 East Reed Street, Red Oak, Iowa 51566",-95.228044,41.009641,Local government grounds;,No Indoor;,1,28,2021,Thursday
30,300044,2021-01-26,13:00:38,Halifax Market Place & Farmers Market,209 South Main Street,Halifax,24558,Virginia,"209 South Main Street, Halifax, Virginia 24558",-78.92836,36.76317,Private business,Entire time open indoor;,1,26,2021,Tuesday
31,300046,2021-01-05,16:03:16,Crystal Lake Farmers Market,"Depot Park, Woodstock & Williams Streets",Crystal Lake,60014,Illinois,"Depot Park, Woodstock & Williams Streets, Crystal Lake, Illinois 60014",-88.31701,42.243752,Local government grounds;,No Indoor;,1,5,2021,Tuesday
32,300047,2021-01-05,17:58:18,Uptown Greenville Umbrella Market,Fifth Street and Evans Street,Greenville,27858,North Carolina,"Fifth Street and Evans Street, Greenville, North Carolina 27858",-77.373338,35.611005,Local government grounds;,No Indoor;,1,5,2021,Tuesday
33,300048,2021-01-25,16:00:18,Voorheesville Farmers Market,68 Maple Ave.,Voorheesville,12186,New York,"68 Maple Ave., Voorheesville, New York 12186",-73.930027,42.649656,Faith-based institution;,No Indoor;,1,25,2021,Monday
34,300049,2020-09-15,16:42:23,Waukon Farmers Market,850 Rossville Road,Waukon,52172,Iowa,"850 Rossville Road, Waukon, Iowa 52172",-91.472878,43.260191,Private business,No Indoor;,9,15,2020,Tuesday
35,300050,2021-01-27,11:13:03,Utica Farmers Market,"Chancellor Park, Elizabeth St.",Utica,13501,New York,"Chancellor Park, Elizabeth St., Utica, New York 13501",-75.225983,43.096382,Local government grounds;,No Indoor;,1,27,2021,Wednesday
36,300053,2020-12-28,18:10:47,Salamanca Farmers market,768 Broad st,Salamanca,14779,New York,"768 Broad st, Salamanca, New York 14779",-78.741263,42.164734,Private business,No Indoor;,12,28,2020,Monday
37,300055,2021-01-27,21:03:15,Belmont Farmers Market,5429 State Route 19N,Belmont,14813,New York,"5429 State Route 19N, Belmont, New York 14813",-78.053508,42.234077,Private business,No Indoor;,1,27,2021,Wednesday
38,300057,2021-02-12,19:00:58,Claremont Farmers & Artisans Market,Harvard Avenue Between Bonita and First Streets,Claremont,91711,California,"Harvard Avenue Between Bonita and First Streets, Claremont, California 91711",-117.71641,34.095598,Closed-off public street;,No Indoor;,2,12,2021,Friday
39,300063,2020-08-03,13:01:45,Yellow Green Farmers Market,1940 North 30th Road,Hollywood,33021,Florida,"1940 North 30th Road, Hollywood, Florida 33021",-80.169243,26.03026,Private business,Entire time open indoor;,8,3,2020,Monday
40,300066,2021-01-15,10:35:49,Croghan Colonial Bank Farmers Market,Front Street and Garrison Street,Fremont,43420,Ohio,"Front Street and Garrison Street, Fremont, Ohio 43420",-83.113549,41.345408,Closed-off public street;,No Indoor;,1,15,2021,Friday
41,300068,2021-02-11,8:38:27,Lakewood Earth and Food (LEAF) Community Farmers' Market,15425 Detroit,Lakewood,44107,Ohio,"15425 Detroit, Lakewood, Ohio 44107",-81.804266,41.484539,Educational institution;,No Indoor;,2,11,2021,Thursday
42,300075,2021-02-01,15:01:51,Northport Farmers Market,105 S. Bay Street,Northport,49670,Michigan,"105 S. Bay Street, Northport, Michigan 49670",-85.614175,45.129668,Local government grounds;,No Indoor;,2,1,2021,Monday
43,300076,2021-02-01,15:00:49,Suttons Bay Farmers Market,Intersection of M22 & M204,Suttons Bay,49682,Michigan,"Intersection of M22 & M204, Suttons Bay, Michigan 49682",-85.647075,44.980186,Local government grounds;,No Indoor;,2,1,2021,Monday
44,300077,2021-02-01,14:59:38,Glen Arbor Farmers Market,6394 Western Ave.,Glen Arbor,49636,Michigan,"6394 Western Ave., Glen Arbor, Michigan 49636",-85.986905,44.897978,Local government grounds;,No Indoor;,2,1,2021,Monday
45,300078,2021-02-01,14:57:48,Leland Farmers Market,River Street,Leland,49654,Michigan,"River Street, Leland, Michigan 49654",-85.759459,45.022857,Private business,No Indoor;,2,1,2021,Monday
46,300079,2021-02-01,15:02:49,Empire Farmers Market,10234 Front Street,Empire,49630,Michigan,"10234 Front Street, Empire, Michigan 49630",-86.063056,44.811224,Federal/state government grounds;,No Indoor;,2,1,2021,Monday
47,300080,2020-09-10,18:48:35,Forest Lakes Farmers Market,1650 Ashwood Blvd.,Charlottesville,22911,Virginia,"1650 Ashwood Blvd., Charlottesville, Virginia 22911",-78.44106,38.1087,Private business,No Indoor;,9,10,2020,Thursday
48,300081,2021-01-25,13:38:55,CMS Farmers Market,7500 Security Blvd.,Woodlawn,21244,Maryland,"7500 Security Blvd., Woodlawn, Maryland 21244",-76.764414,39.316055,Federal/state government grounds;,No Indoor;,1,25,2021,Monday
49,300084,2021-01-05,15:10:42,Frankenmuth Farmers Market,534 North Main Street,Frankenmuth,48734,Michigan,"534 North Main Street, Frankenmuth, Michigan 48734",-83.738212,43.344313,Private business,Part time open indoor;,1,5,2021,Tuesday
50,300086,2021-01-04,13:04:34,Menlo Park Farmers' Market,Chestnut & Menlo Avenues,Menlo Park,94025,California,"Chestnut & Menlo Avenues, Menlo Park, California 94025",-122.1841,37.450822,Private business,No Indoor;,1,4,2021,Monday
51,300088,2021-01-27,12:04:49,Marshfield Farmer's Market,140 Main St  (Route 3A),Marshfield,02050,Massachusetts,"140 Main St  (Route 3A), Marshfield, Massachusetts 02050",-70.717317,42.098148,Local government grounds;,Part time open indoor;,1,27,2021,Wednesday
52,300090,2021-02-10,8:30:21,Dousman Farmers Market,118 S. Main St,Dousman,53118,Wisconsin,"118 S. Main St, Dousman, Wisconsin 53118",-88.472514,43.013121,Local government grounds;,No Indoor;,2,10,2021,Wednesday
53,300091,2021-01-13,11:13:13,Nash County Farmers Market in Rocky Mount,1006 Peachtree St.,Rocky Mount,27804,North Carolina,"1006 Peachtree St., Rocky Mount, North Carolina 27804",-77.802729,35.955256,Local government grounds;,Entire time open indoor;,1,13,2021,Wednesday
54,300092,2020-09-10,22:20:11,Sitka Farmers Market,611 Lincoln Street,Sitka,99835,Alaska,"611 Lincoln Street, Sitka, Alaska 99835",-135.32674,57.051519,Faith-based institution;,No Indoor;,9,10,2020,Thursday
55,300093,2021-01-26,7:58:47,Matthys Farm Market,57754 Crumstown Hwy,South Bend,46619,Indiana,"57754 Crumstown Hwy, South Bend, Indiana 46619",-86.35873,41.65516,Private business,Entire time open indoor;,1,26,2021,Tuesday
56,300096,2020-08-07,15:54:43,Basalt Sunday Market,101 Midland Avenue,Basalt,81621,Colorado,"101 Midland Avenue, Basalt, Colorado 81621",-107.03473,39.368957,Closed-off public street;,No Indoor;,8,7,2020,Friday
57,300098,2021-01-04,11:35:46,Puyallup Farmers' Market,300  S Meridian (COVID operations at corner of  2nd and Main downtown Puyallup),Puyallup,98371,Washington,"300  S Meridian (COVID operations at corner of  2nd and Main, downtown Puyallup), Puyallup, Washington 98371",-122.29243,47.191241,Closed-off public street;,No Indoor;,1,4,2021,Monday
58,300099,2020-06-07,18:00:25,Andersonville Farmers Market,1500 W. Catalpa Ave.,Chicago,60640,Illinois,"1500 W. Catalpa Ave., Chicago, Illinois 60640",-87.668602,41.981745,Closed-off public street;,No Indoor;,6,7,2020,Sunday
59,300103,2020-08-03,14:53:38,Red Stick Farmers Market - Thursday Year Round,6400 Perkins Road,Baton Rouge,70808,Louisiana,"6400 Perkins Road, Baton Rouge, Louisiana 70808",-91.121067,30.399197,Federal/state government grounds;,No Indoor;,8,3,2020,Monday
60,300104,2021-01-25,15:58:58,Dexter Farmers Market,3233 Alpine,Dexter,48130,Michigan,"3233 Alpine, Dexter, Michigan 48130",-83.889459,42.339503,Local government grounds;,No Indoor;,1,25,2021,Monday
61,300108,2021-02-09,10:05:12,Northbrook Farmers Market,Cherry Lane and Meadow Road,Northbrook,60062,Illinois,"Cherry Lane and Meadow Road, Northbrook, Illinois 60062",-87.828657,42.1314024,Private business,No Indoor;,2,9,2021,Tuesday
62,300109,2021-01-26,17:58:13,Solana Beach Farmers Market,444 South Cedros Avenue,Solana Beach,92075,California,"444 South Cedros Avenue, Solana Beach, California 92075",-117.2692,32.987194,Private business,No Indoor;,1,26,2021,Tuesday
63,300110,2021-01-21,17:15:52,Lake Oswego Farmers' Market,"Millennium Plaza Park, 200 First Street",Oswego,97034,Oregon,"Millennium Plaza Park, 200 First Street, Lake Oswego, Oregon 97034",-122.66477,45.417855,Local government grounds;,No Indoor;,1,21,2021,Thursday
64,300111,2021-01-25,16:26:58,Rusk County Farmers Market,US Highway 8 & W. 2nd  Street,Ladysmith,54848,Wisconsin,"US Highway 8 & W. 2nd  Street, Ladysmith, Wisconsin 54848",-91.09924,45.464998,Local government grounds;,No Indoor;,1,25,2021,Monday
65,300118,2020-09-10,16:19:54,Alamosa Farmers Market,Corner of 6th Street and State Avenue's Parking Lot,Alamosa,81101,Colorado,"Corner of 6th Street and State Avenue's Parking Lot, Alamosa, Colorado 81101",-105.865,37.467321,Private business,No Indoor;,9,10,2020,Thursday
66,300119,2021-01-26,9:25:32,Riverdale Park Farmers Market,4650 Queensbury Road,Riverdale Park,20737,Maryland,"4650 Queensbury Road, Riverdale Park, Maryland 20737",-76.935311,38.962979,Local government grounds;,No Indoor;,1,26,2021,Tuesday
67,300120,2020-09-10,16:56:49,Oxford Farmers Market,Corner of Lanier and McClanahan Streets,Oxford,27565,North Carolina,"Corner of Lanier and McClanahan Streets, Oxford, North Carolina 27565",-78.586616,36.3148277,Local government grounds;,No Indoor;,9,10,2020,Thursday
68,300121,2020-09-10,15:08:27,City of Loveland Farmers Market,700 S. Railroad,Loveland,80537,Colorado,"700 S. Railroad, Loveland, Colorado 80537",-105.07865,40.387479,Local government grounds;,No Indoor;,9,10,2020,Thursday
69,300122,2020-08-04,10:26:48,Montevallo Farmers Market,Middle Street and Island Street,Montevallo,35115,Alabama,"Middle Street and Island Street, Montevallo, Alabama 35115",-86.862926,33.09948,Faith-based institution;,No Indoor;,8,4,2020,Tuesday
70,300126,2021-01-05,16:23:14,Cottin's Hardware Farmers Market,1832 Massachusetts Street,Lawrence,66044,Kansas,"1832 Massachusetts Street, Lawrence, Kansas 66044",-95.235146,38.950747,Private business,Part time open indoor;,1,5,2021,Tuesday
71,300127,2020-09-10,15:58:45,Ionia Farmers' Market,South Steele Street and Adams Street,Ionia,48846,Michigan,"South Steele Street and Adams Street, Ionia, Michigan 48846",-85.067726,42.9814841,Local government grounds;,No Indoor;,9,10,2020,Thursday
72,300128,2021-01-04,9:39:35,Wayland Winter Farmers' Market,397 Boston Post Road,Wayland,01778,Massachusetts,"397 Boston Post Road, Wayland, Massachusetts 01778",-71.369892,42.363071,Private business,Part time open indoor;,1,4,2021,Monday
73,300132,2020-08-04,11:53:02,Plymouth Farmers Market,Garro St.,Plymouth,46563,Indiana,"Garro St., Plymouth, Indiana 46563",-86.307641,41.34065,Local government grounds;,No Indoor;,8,4,2020,Tuesday
74,300135,2021-01-25,17:02:45,Mount Pleasant Farmers Market,645 Coleman Boulevard,Mount Pleasant,29464,South Carolina,"645 Coleman Boulevard, Mount Pleasant, South Carolina 29464",-79.8734,32.790718,Federal/state government grounds;,No Indoor;,1,25,2021,Monday
75,300138,2021-01-25,12:26:16,Chelsea Farmers' Market,Corner of Rte 110 and Rte 113,Chelsea,05038,Vermont,"Corner of Rte 110 and Rte 113, Chelsea, Vermont 05038",-72.44747,43.98878,Local government grounds;,No Indoor;,1,25,2021,Monday
76,300141,2021-01-25,17:09:27,North Prairie Farmers Market - Minot,Corner of 3rd Ave SW and Broadway,Minot,58701,North Dakota,"Corner of 3rd Ave SW and Broadway, Minot, North Dakota 58701",-101.29559,48.233564,Healthcare institution;,No Indoor;,1,25,2021,Monday
77,300144,2020-04-20,6:52:28,Saline Farmers Market,S. Ann Arbor Street,Saline,48176,Michigan,"S. Ann Arbor Street, Saline, Michigan 48176",-83.781146,42.165956,Local government grounds;,No Indoor;,4,20,2020,Monday
78,300145,2020-04-20,6:53:48,Saline Farmers Market,7265 Saline Ann Arbor Road,Saline,48176,Michigan,"7265 Saline Ann Arbor Road, Saline, Michigan 48176",-83.785094,42.179728,Local government grounds;,Part time open indoor;,4,20,2020,Monday
79,300147,2020-09-15,9:23:17,Farmers Market of Bluffton,40 Calhoun Street,Bluffton,29910,South Carolina,"40 Calhoun Street, Bluffton, South Carolina 29910",-80.862568,32.234811,Closed-off public street;,No Indoor;,9,15,2020,Tuesday
80,300148,2021-01-07,11:10:46,Hinsdale Farmers Market,30 E. Chicago Ave.,Hinsdale,60521,Illinois,"30 E. Chicago Ave., Hinsdale, Illinois 60521",-87.928694,41.8036543,Closed-off public street;,No Indoor;,1,7,2021,Thursday
81,300149,2021-02-08,13:23:39,Imlay City Farmers Market,120 N Main,Imlay City,48444,Michigan,"120 N Main, Imlay City, Michigan 48444",-83.074322,43.02429,Local government grounds;,No Indoor;,2,8,2021,Monday
82,300150,2021-01-04,13:21:39,Athens Farmers Market,1002 East State Street,Athens,45701,Ohio,"1002 East State Street, Athens, Ohio 45701",-82.056622,39.336038,Private business,Part time open indoor;,1,4,2021,Monday
83,300154,2021-01-04,10:35:33,Dubuque Farmers Market,Iowa Street between 10th & 13th Streets,Dubuque,52001,Iowa,"Iowa Street between 10th & 13th Streets, Dubuque, Iowa 52001",-90.667851,42.504521,Closed-off public street;,No Indoor;,1,4,2021,Monday
84,300156,2021-01-26,13:43:45,Salem Farmers Market,3 East Main Street,Salem,24153,Virginia,"3 East Main Street, Salem, Virginia 24153",-80.058606,37.292997,Local government grounds;,No Indoor;,1,26,2021,Tuesday
85,300157,2021-03-08,15:40:30,Manzanita Farmers Market,36465 N Hwy 101,Nehalem ,97131,Oregon,"36465 N Hwy 101, Nehalem , Oregon 97131",-123.89424,45.719007,Local government grounds;,No Indoor;,3,8,2021,Monday
86,300184,2021-01-26,17:09:13,Los Ranchos Growers' Market,"City Hall, 6718 Rio Grande Blvd. NW",Los Ranchos,87107,New Mexico,"City Hall, 6718 Rio Grande Blvd. NW, Los Ranchos, New Mexico 87107",-106.65491,35.158683,Local government grounds;,No Indoor;,1,26,2021,Tuesday
87,300186,2021-01-04,9:26:38,Twin City Farmers Market,106 Avenue A,Sterling,61081,Illinois,"106 Avenue A, Sterling IL, Illinois 61081",-89.697172,41.787255,Private business,Entire time open indoor;,1,4,2021,Monday
88,300187,2021-01-26,17:33:00,Mount Carroll Farmers Market,116 E Market Street,Mount Carroll ,61053,Illinois,"116 E Market Street, Mount Carroll , Illinois 61053",-89.978008,42.101295,Local government grounds;,No Indoor;,1,26,2021,Tuesday
89,300188,2021-01-25,20:04:22,Main Street Farmers Market,South Main at Wheeling,Washington,15301,Pennsylvania,"South Main at Wheeling, Washington, Pennsylvania 15301",-80.245,40.169,Local government grounds;,No Indoor;,1,25,2021,Monday
90,300189,2020-09-10,16:01:18,Mosinee Farm Market,1101 Main Street,Mosinee,54455,Wisconsin,"1101 Main Street, Mosinee, Wisconsin 54455",-89.708626,44.797421,Local government grounds;,No Indoor;,9,10,2020,Thursday
91,300191,2020-08-03,11:45:10,Glencoe Farmers Market,201  W Chastain Blvd. West,Glencoe,35905,Alabama,"201  W CHASTAIN BLVD. WEST, GLENCOE, Alabama 35905",-85.934714,33.957828,Local government grounds;,No Indoor;,8,3,2020,Monday
92,300192,2020-07-02,14:41:51,USDA Farmers Market,Corner 12th St. & Independence Ave. SW,Washington,20250,District of Columbia,"Corner 12th St. & Independence Ave. SW, Washington, District of Columbia 20250",-77.028494,38.887743,Federal/state government grounds;,No Indoor;,7,2,2020,Thursday
93,300193,2020-09-10,19:20:42,Miles City Farmers Market,"500 Main St, Riverside Park",Miles City,59301,Montana,"500 Main St  Riverside Park, Miles City, Montana",-105.84009,46.408215,Park,No Indoor;,9,10,2020,Thursday
94,300196,2020-09-10,14:56:47,Chatham Farmer's Market,1652 Main Street Rte 28,Chatham,02633,Massachusetts,"1652 Main Street Rte 28, Chatham, Massachusetts 02633",-69.962249,41.676615,Private business,No Indoor;,9,10,2020,Thursday
95,300202,2020-09-10,15:39:44,Anacortes Farmers Market,611 R Avenue,Anacortes,98221,Washington,"611 R Avenue, Anacortes, Washington 98221",-122.60918,48.516974,Closed-off public street;,No Indoor;,9,10,2020,Thursday
96,300206,2021-01-19,15:31:17,Minturn Market,Historic Downtown Minturn,Minturn,81645,Colorado,"Historic Downtown Minturn, Minturn, Colorado 81645",-106.4315,39.58839,Private business,No Indoor;,1,19,2021,Tuesday
97,300207,2020-08-05,9:25:35,Webster Springs Farmer's Market,Baker's Island,Webster Springs,26288,West Virginia,"Baker's Island, Webster Springs, West Virginia 26288",-80.415459,38.47842,Local government grounds;,No Indoor;,8,5,2020,Wednesday
98,300209,2020-08-05,11:33:22,"Ocean City, NJ Farmers & Crafters Market",6th Street & Asbury Avenue,Ocean City,08226,New Jersey,"6th Street & Asbury Avenue, Ocean City, New Jersey 08226",-74.572082,39.282143,Closed-off public street;,No Indoor;,8,5,2020,Wednesday
99,300210,2021-01-04,9:57:37,Hernando Farmers Market,2535 Highway 51 South,Hernando,38632,Mississippi,"2535 Highway 51 South, Hernando, Mississippi 38632",-89.994281,34.823026,Local government grounds;,No Indoor;,1,4,2021,Monday
100,300211,2021-03-04,17:48:17,Townshend Farmers Market,6573 Route 30,West Townshend,05359,Vermont,"6573 Route 30, West Townshend, Vermont 05359",-72.711717,43.084256,Private business,No Indoor;,3,4,2021,Thursday
101,300214,2021-01-04,23:07:19,Idaho Falls Farmers' Market,A - D St. Memorial Drive,Idaho Falls,83402,Idaho,"A - D St. Memorial Drive, Idaho Falls, Idaho 83402",-112.0425,43.494592,Closed-off public street;,No Indoor;,1,4,2021,Monday
102,300215,2021-01-09,14:05:42,Hanalei Farmers' Market at Hale Halawai 'Ohana O Hanalei,55299C Kuhio Hwy ,Hanalei,96714,Hawaii,"55299C Kuhio Hwy , Hanalei, Hawaii 96714",-159.4992,22.201731,Local government grounds;,No Indoor;,1,9,2021,Saturday
103,300216,2021-01-27,9:39:39,City of White Bear Lake Farmer's Market,Clark Avenue between 2nd and 3rd Street,White Bear Lake,55110,Minnesota,"Clark Avenue, between 2nd and 3rd Street, White Bear Lake, Minnesota 55110",-93.009953,45.084125,Closed-off public street;,No Indoor;,1,27,2021,Wednesday
104,300217,2021-01-25,17:11:32,Monroe County Farmer's Market,20 E. Willow St.,Monroe,48162,Michigan,"20 E. Willow St., Monroe, Michigan 48162",-83.39378,41.91965,Private business,Entire time open indoor;,1,25,2021,Monday
105,300219,2020-12-28,13:19:10,Legion Park Farmers Market,6601 Biscayne Blvd,Miami,33138,Florida,"6601 Biscayne Blvd, Miami, Florida 33138",-80.183684,25.836451,Local government grounds;,No Indoor;,12,28,2020,Monday
106,300221,2021-01-14,1:12:45,Espanola Farmers Market,1105 N.Railroad  Avenue,Espanola,87532,New Mexico,"1105 N.Railroad  Avenue, Espanola, New Mexico 87532",-106.0658,36.003598,Private business,No Indoor;,1,14,2021,Thursday
107,300222,2020-09-10,17:36:52,MILFORD - DOWNTOWN FARMERS MARKET,108 West Main Street (Wasson Field),Milford,06460,Connecticut,"108 West Main Street (Wasson Field), Milford, Connecticut 06460",-73.062096,41.226598,Local government grounds;,No Indoor;,9,10,2020,Thursday
108,300224,2020-09-11,18:35:49,Northeast Minneapolis Farmers Market,University Avenue NE and 7th Avenue NE ,Minneapolis,55413,Minnesota,"University Avenue NE and 7th Avenue NE , Minneapolis, Minnesota 55413",-93.262339,44.995288,Private business,No Indoor;,9,11,2020,Friday
109,300227,2020-08-04,0:47:43,Main Street Farmers Market,401 Main Street,Placerville,95667,California,"401 Main Street, Placerville, California 95667",-120.79696,38.730544,Closed-off public street;,No Indoor;,8,4,2020,Tuesday
110,300229,2020-09-11,9:01:39,Green Scene Walker Community Farmer's Market,617 Michigan Avenue,Walker,56484,Minnesota,"617 Michigan Avenue, Walker, Minnesota 56484",-94.584857,47.100539,Private business,No Indoor;,9,11,2020,Friday
111,300230,2020-09-11,8:52:44,Piedmont Triad Farmers Market,2914 Sandy Ridge Road,Colfax,27235,North Carolina,"2914 Sandy Ridge Road, Colfax, North Carolina 27235",-79.992657,36.087691,Federal/state government grounds;,Entire time open indoor;,9,11,2020,Friday
112,300231,2021-01-25,17:09:41,Saugerties Farmers Market,115 Main Street,Saugerties,12477,New York,"115 Main Street, Saugerties, New York 12477",-73.946818,42.080345,Local government grounds;,No Indoor;,1,25,2021,Monday
113,300235,2021-01-04,13:41:23,Homer Farmers Market,Ocean Drive,Homer,99603,Alaska,"Ocean Drive, Homer, Alaska 99603",-151.51234,59.638109,Private business,No Indoor;,1,4,2021,Monday
